ClustSize PeakZ X Y Z
115 3.2815 3.0 66.0 45.0
37 3.113 15.0 66.0 24.0
30 3.1054 12.0 39.0 39.0
30 3.113 6.0 -12.0 51.0
16 3.1054 0.0 18.0 42.0
13 3.113 33.0 87.0 -6.0
10 3.1054 -15.0 81.0 45.0
8 3.0787 -18.0 66.0 24.0
8 3.1054 -24.0 -36.0 42.0
6 3.1054 21.0 -69.0 15.0
6 3.113 48.0 -6.0 36.0
5 3.0695 -9.0 66.0 -18.0
4 3.0712 27.0 45.0 -9.0
4 3.1068 3.0 45.0 12.0
4 3.0362 -15.0 57.0 18.0
3 3.037 42.0 54.0 -21.0
3 3.0148 -45.0 78.0 27.0
3 3.0362 -69.0 27.0 33.0
2 3.0171 -39.0 9.0 0.0
2 3.1054 27.0 -66.0 3.0
1 3.0362 -42.0 57.0 -18.0
1 3.0171 39.0 72.0 -15.0
1 3.0172 -9.0 -60.0 -9.0
1 3.0144 -18.0 48.0 30.0
1 3.0148 -6.0 -24.0 45.0
